GCA_002290185	plantarum
GCA_002370925	plantarum
GCA_002370965	plantarum
GCA_002370985	plantarum
GCA_002407395	plantarum
GCA_002532115	plantarum
GCA_002532125	plantarum
GCA_002576835	plantarum
GCA_002631775	plantarum
GCA_002735815	plantarum
GCA_002737745	plantarum
GCA_002737775	plantarum
GCA_002737825	plantarum
GCA_002737835	plantarum
GCA_002737845	plantarum
GCA_002737885	plantarum
GCA_002737905	plantarum
GCA_002737925	plantarum
GCA_002737935	plantarum
GCA_002737965	plantarum
GCA_002737975	plantarum
GCA_002737995	plantarum
GCA_002738045	plantarum
GCA_002738055	plantarum
GCA_002738065	plantarum
GCA_002749655	plantarum
GCA_002749875	plantarum
GCA_002750575	plantarum
GCA_002750675	plantarum
GCA_002750695	plantarum
GCA_002751765	plantarum
GCA_002751855	pentosus
GCA_002850015	pentosus
GCA_002868755	plantarum
GCA_002868775	plantarum
GCA_002872355	plantarum
GCA_002895245	plantarum
GCA_002897175	paraplantarum
GCA_002906095	plantarum
GCA_002906875	plantarum
GCA_002914965	plantarum
GCA_002920935	plantarum
GCA_002943545	plantarum
GCA_002948215	plantarum
GCA_002993385	pentosus
GCA_002993395	pentosus
GCA_002993425	pentosus
GCA_002993435	pentosus
GCA_002993465	pentosus
GCA_002993485	pentosus
GCA_002994725	plantarum
GCA_003020005	plantarum
GCA_003023825	plantarum
GCA_003045645	plantarum
GCA_003045665	plantarum
GCA_003045685	paraplantarum
GCA_003045705	plantarum
GCA_003045725	plantarum
GCA_003046075	plantarum
GCA_003053025	plantarum
GCA_003053035	plantarum
GCA_003053045	plantarum
GCA_003053165	plantarum
GCA_003053185	plantarum
GCA_003061725	plantarum
GCA_003061765	plantarum
GCA_003061785	plantarum
GCA_003061805	plantarum
GCA_003076435	plantarum
GCA_003097595	plantarum
GCA_003143915	plantarum
GCA_003258615	plantarum
GCA_003269405	plantarum
GCA_003286955	plantarum
GCA_003325395	plantarum
GCA_003325775	plantarum
GCA_900078525	plantarum
GCA_900080205	plantarum
GCA_900092635	pentosus
GCA_900095045	plantarum
GCA_900095055	plantarum
GCA_900095065	plantarum
GCA_900200135	plantarum
GCA_900289155	plantarum
GCA_900290085	plantarum
GCA_900290105	plantarum
GCA_900290125	plantarum
GCA_900290135	plantarum
GCA_900452585	plantarum
L-Mudanjiangensis-DSM-28402	mudanjiangensis
